cast,Kd_obs,I0,R2_PAR_Depth,BeamAttm,R2_Kd_BeamAtt,Kd_mdl,Kd
1,0.225299664943428,3722.00860236232,0.974335963787689,77.68304375,0.752558324340838,0.201732007343492,0.225299664943428
2,0.205164695672449,4118.03181740436,0.968921999210565,77.1878294117647,0.752558324340838,0.209413253355057,0.205164695672449
3,0.180370229602721,1396.30768543672,0.994165388316515,79.1815111111111,0.752558324340838,0.178489351482573,0.180370229602721
4,NaN,NaN,NaN,77.4068611111111,0.752558324340838,0.206015863099746,0.206015863099746
5,NaN,NaN,NaN,79.63314,0.752558324340838,0.171484157299692,0.171484157299692
6,NaN,NaN,NaN,80.8432611111111,0.752558324340838,0.152714026387576,0.152714026387576
7,0.149708958146479,247.54269521229,0.947489992425349,82.169985,0.752558324340838,0.13213527534355,0.149708958146479
8,0.140162890792453,812.005661801169,0.974079186441813,81.7178526315789,0.752558324340838,0.139148278973472,0.140162890792453
9,0.13278531277988,727.592390982477,0.983284455654858,79.7145384615385,0.752558324340838,0.170221589640064,0.13278531277988
10,0.121451649035456,1922.91534254042,0.994752189555723,82.70713,0.752558324340838,0.123803644834657,0.121451649035456
11,NaN,NaN,NaN,87.12287,0.752558324340838,0.0553113120318982,0.0553113120318982
13,0.0464703349983973,262.526321604253,0.656386061070803,87.3704210526316,0.752558324340838,0.051471559446258,0.051471559446258
14,0.068893350931693,408.292503037431,0.644923474341861,86.482285,0.752558324340838,0.0652473954535795,0.0652473954535795
16,NaN,NaN,NaN,83.729675,0.752558324340838,0.107942998047075,0.107942998047075
0,0,0,0,0,0.752558324340838,1.4066699986329,1.4066699986329
0,0,0,0,0,0.752558324340838,1.4066699986329,1.4066699986329
